"","x"
"1",0.54
"2",0.54
"3",0.508
"4",0.564
"5",0.48
"6",0.408
"7",0.384
"8",0.344
"9",0.392
"10",0.332
"11",0.312
"12",0.352
"13",0.24
"14",0.236
"15",0.228
"16",0.228
"17",0.176
"18",0.148
"19",0.16
"20",0.084
"21",0.108
"22",0.116
"23",0.136
"24",0.068
"25",0.06
"26",0.108
"27",0.068
"28",0.052
"29",0.052
"30",0.044
