"","x"
"1",0.724
"2",0.66
"3",0.66
"4",0.736
"5",0.64
"6",0.648
"7",0.596
"8",0.616
"9",0.544
"10",0.568
"11",0.548
"12",0.504
"13",0.52
"14",0.5
"15",0.5
"16",0.512
"17",0.428
"18",0.432
"19",0.464
"20",0.444
"21",0.364
"22",0.368
"23",0.336
"24",0.328
"25",0.292
"26",0.284
"27",0.268
"28",0.284
"29",0.224
"30",0.232
"31",0.22
"32",0.152
"33",0.132
"34",0.132
"35",0.14
"36",0.172
"37",0.116
"38",0.144
"39",0.104
"40",0.132
"41",0.14
"42",0.076
"43",0.072
"44",0.064
"45",0.06
"46",0.104
"47",0.052
"48",0.04
"49",0.036
"50",0.04
