"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",1
"12",0.992
"13",1
"14",1
"15",0.992
"16",0.996
"17",0.984
"18",0.972
"19",0.932
"20",0.94
"21",0.952
"22",0.92
"23",0.872
"24",0.848
"25",0.816
"26",0.816
"27",0.732
"28",0.704
"29",0.608
"30",0.656
"31",0.608
"32",0.516
"33",0.492
"34",0.424
"35",0.424
"36",0.348
"37",0.316
"38",0.308
"39",0.224
"40",0.192
"41",0.132
"42",0.18
"43",0.136
"44",0.152
"45",0.112
"46",0.08
"47",0.1
"48",0.084
"49",0.072
"50",0.048
