"","10","20","30"
"10",0.000355861303913165,0.0431972543639333,8.93190870293654e-06
"20",2.67720400308681e-05,0.334482875306645,0.00433872702776955
"30",1.05182062143413e-05,0.0656010247284976,0.752823573176983
