"","x"
"1",1
"2",1
"3",1
"4",0.996
"5",0.996
"6",1
"7",0.972
"8",0.976
"9",0.932
"10",0.92
"11",0.86
"12",0.844
"13",0.724
"14",0.66
"15",0.612
"16",0.544
"17",0.464
"18",0.452
"19",0.336
"20",0.408
"21",0.252
"22",0.276
"23",0.212
"24",0.18
"25",0.14
"26",0.12
"27",0.112
"28",0.084
"29",0.088
"30",0.052
