"","x"
"1",0.692
"2",0.612
"3",0.576
"4",0.604
"5",0.6
"6",0.504
"7",0.48
"8",0.42
"9",0.332
"10",0.336
"11",0.248
"12",0.244
"13",0.176
"14",0.16
"15",0.144
"16",0.104
"17",0.112
"18",0.1
"19",0.076
"20",0.068
